assetId,assetTypeId
01FR3W26HCPD73NKCQNR42EKV2,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HD26WSK881FCDYW71R,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HD2JT2NKMBYDKFVQC4,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HD32H825ZRC3QFXV47,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HD89WCH21318GY8W06,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HD8WDDEZEEPWSQ46T9,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HDB6ZWGYN00HP579DA,01FX34K9DDZXE2TC4XX09HY08Z
01FR3W26HDG93WRASGTTKQW6W1,01FX34K9DDZXE2TC4XX09HY08Z
01FR3WAFT910WGJ2SEQ6BJW4HD,01FX34K9DDZXE2TC4XX09HY08Z
01FR3WAFT9MFBKK1BF6RNYV02W,01FX34K9DDZXE2TC4XX09HY08Z
01FR3WAFT9RHHX33JWCGEFT3AZ,01FX34K9DDZXE2TC4XX09HY08Z
01FR3WAFT9TZHDBH2QP671Z6ED,01FX34K9DDZXE2TC4XX09HY08Z
01FR5W179JCF522DT1GN8D8653,01FX34K9DDZXE2TC4XX09HY08Z
01FR5XK7R10QYTE171S87S1GMM,01FX34K9DDZXE2TC4XX09HY08Z
01FR5ZQWQCY5MBCN8NYVJ24HZQ,01FX34K9DDZXE2TC4XX09HY08Z
01FR5ZWBF4EDK2RCBTTGGHQ3YT,01FX34K9DDZXE2TC4XX09HY08Z
01FR6012ZGDABTVDCN05D4KD5N,01FX34K9DDZXE2TC4XX09HY08Z
01FR60ANHANFKKJJBJJ8T32YKF,01FX34K9DDZXE2TC4XX09HY08Z
01FR60E0607K6STKXN67RG0S99,01FX34K9DDZXE2TC4XX09HY08Z
01FR675VTKA9EJ32EHBWXF9BPR,01FX34K9DDZXE2TC4XX09HY08Z
01FR6G8PDK2A7T7SQEFDAQ5K22,01FX34K9DDZXE2TC4XX09HY08Z
