id,createdAt,updatedAt,assetId,color,coverage
01G2YQ9C8XY8KN1ECVV6A8XF4Z,2022-05-13 12:46:23.213421,2022-05-13 12:46:23.213421,01G1189TM4SDEDA85N9EP1NMN1,Light Gray,0.150156
01G2YQ9CKWF1MM002S4TTDXZA9,2022-05-13 12:46:23.590754,2022-05-13 12:46:23.590754,01G1189TM4ZDTMNR6TQ9BSHG3W,Sienna,0.178125
01G2YQ9CKWJMM6A1N8VNQ159JE,2022-05-13 12:46:23.595972,2022-05-13 12:46:23.595972,01G1189TM4ZDTMNR6TQ9BSHG3W,Bordeaux/ Fire Brick,0.11
01G2YQ9CKWTN17NH2H14ZG6Y1P,2022-05-13 12:46:23.599578,2022-05-13 12:46:23.599578,01G1189TM4ZDTMNR6TQ9BSHG3W,Rosy Brown,0.148906
01G2YQ9D00C08YFDSB0Z3611ES,2022-05-13 12:46:23.990194,2022-05-13 12:46:23.990194,01G1189TM54VKPCY20EGP4M3ZB,Steel Blue,0.103594
01G2YQ9D00M0W5DFHD1JTXA5MY,2022-05-13 12:46:23.991939,2022-05-13 12:46:23.991939,01G1189TM54VKPCY20EGP4M3ZB,Black,0.104062
01G2YQ9D00VA38XBHCDR75CEFZ,2022-05-13 12:46:23.986536,2022-05-13 12:46:23.986536,01G1189TM54VKPCY20EGP4M3ZB,Navy,0.112812
01G2YQ9D00XWMGNC0E1R5JC28T,2022-05-13 12:46:23.988347,2022-05-13 12:46:23.988347,01G1189TM54VKPCY20EGP4M3ZB,Khaki,0.284531
01G2YQ9DNMD0PNYEX40CE83K4C,2022-05-13 12:46:24.722684,2022-05-13 12:46:24.722684,01G1189TM5TKHTF03V8TDZBPC6,Gray,0.227812
01G2YQ9DNMDTKF7BWP91NMC1FC,2022-05-13 12:46:24.726325,2022-05-13 12:46:24.726325,01G1189TM5TKHTF03V8TDZBPC6,Rosy Brown,0.201562
01G2YQ9DNMTDWTT2WFMHYM1X3D,2022-05-13 12:46:24.724722,2022-05-13 12:46:24.724722,01G1189TM5TKHTF03V8TDZBPC6,Light Gray,0.160469
01G2YQ9DNMXFA3TGGAVDS939VY,2022-05-13 12:46:24.721027,2022-05-13 12:46:24.721027,01G1189TM5TKHTF03V8TDZBPC6,Green,0.184531
01G2YQ9DPE4ZB0X3NGAMSXAGZH,2022-05-13 12:46:24.677748,2022-05-13 12:46:24.677748,01G1189TM6NFKFD7D3934101YS,Sienna,0.147656
01G2YQ9DPE71SBS3NRJNCQY2QH,2022-05-13 12:46:24.682101,2022-05-13 12:46:24.682101,01G1189TM6NFKFD7D3934101YS,Golden Rod,0.233594
01G2YQ9DPEF1ASGYAPCF0AQZZJ,2022-05-13 12:46:24.687938,2022-05-13 12:46:24.687938,01G1189TM6NFKFD7D3934101YS,Black,0.179375
01G2YQ9E3WFH7HVJC4R3AT9BDG,2022-05-13 12:46:25.083807,2022-05-13 12:46:25.083807,01G1189TMKAPWKAQZKJPVW4ZS5,Rosy Brown,0.171094
01G2YQ9E3WM61AG04C4YV2BH8C,2022-05-13 12:46:25.080184,2022-05-13 12:46:25.080184,01G1189TMKAPWKAQZKJPVW4ZS5,Gray,0.292031
01G2YQ9EE52CGR8PRJWHWK9FE2,2022-05-13 12:46:25.394575,2022-05-13 12:46:25.394575,01G1189TMMK26B4C37XSJ6ABH0,Sienna,0.186875
01G2YQ9EE5K5N6F857Z9DEKWD0,2022-05-13 12:46:25.397836,2022-05-13 12:46:25.397836,01G1189TMMK26B4C37XSJ6ABH0,Golden Rod,0.11125
01G2YQ9EE5P626R7HSC3CYWP20,2022-05-13 12:46:25.403783,2022-05-13 12:46:25.403783,01G1189TMMK26B4C37XSJ6ABH0,Black,0.324531
01G2YQ9EM513VMG54JPTT386HC,2022-05-13 12:46:25.62693,2022-05-13 12:46:25.62693,01G1189TMN9YRVSJKYKKSDDSBJ,Sienna,0.100156
01G2YQ9EM6RMQ4GMNYG4M7T9J3,2022-05-13 12:46:25.630799,2022-05-13 12:46:25.630799,01G1189TMN9YRVSJKYKKSDDSBJ,Black,0.559375
01G2YQ9F216JHWTSFTWQFR3D19,2022-05-13 12:46:26.093741,2022-05-13 12:46:26.093741,01G1189TMNYCW5KH6QY348RAT5,Light Gray,0.212656
01G2YQ9F21S187D5F0PJBB2AZE,2022-05-13 12:46:26.088337,2022-05-13 12:46:26.088337,01G1189TMNYCW5KH6QY348RAT5,"Tan ",0.160156
01G2YQ9F21X25R5XNPYTTFS03E,2022-05-13 12:46:26.083645,2022-05-13 12:46:26.083645,01G1189TMNYCW5KH6QY348RAT5,Beige,0.107031
01G2YQ9FJY8HBS6NFSTKXZWY5B,2022-05-13 12:46:26.570208,2022-05-13 12:46:26.570208,01G1189TMPJP9V19Z299JN5JRT,Gray,0.133281
01G2YQ9FJYGECD824RN2ZC2J9A,2022-05-13 12:46:26.573252,2022-05-13 12:46:26.573252,01G1189TMPJP9V19Z299JN5JRT,Light Gray,0.437031
01G2YQ9FJYH3JW3401TP9DZSMF,2022-05-13 12:46:26.576479,2022-05-13 12:46:26.576479,01G1189TMPJP9V19Z299JN5JRT,Rosy Brown,0.207031
01G2YQ9FZ4DB77KMB9Z1VA6EBD,2022-05-13 12:46:27.020414,2022-05-13 12:46:27.020414,01G1189TMPWG59QNH01C87K4H8,Light Gray,0.255781
01G2YQ9FZ4KQTXRXFBX93RAQTC,2022-05-13 12:46:27.024262,2022-05-13 12:46:27.024262,01G1189TMPWG59QNH01C87K4H8,Khaki,0.126563
01G2YQ9G4XBAWNQEPJX1HH4TME,2022-05-13 12:46:27.195506,2022-05-13 12:46:27.195506,01G1189TMQ85SQS0DVEKXZM3YB,Gray,0.345469
01G2YQ9G4XKVA1K7A29FYYMMX7,2022-05-13 12:46:27.1986,2022-05-13 12:46:27.1986,01G1189TMQ85SQS0DVEKXZM3YB,Rosy Brown,0.258906
01G2YQ9G4XN2H55S50P9Y016QH,2022-05-13 12:46:27.192238,2022-05-13 12:46:27.192238,01G1189TMQ85SQS0DVEKXZM3YB,Green,0.121406
01G2YQ9GK71B6SE4RQBA9FFD94,2022-05-13 12:46:27.776186,2022-05-13 12:46:27.776186,01G1189TMR90QDV7BP2MYTF202,Light Gray,0.152187
01G2YQ9GK7C34TGB0Z42WBVER7,2022-05-13 12:46:27.769725,2022-05-13 12:46:27.769725,01G1189TMR90QDV7BP2MYTF202,Gray,0.195937
01G2YQ9GK7YM1EBD11KC4R8FHK,2022-05-13 12:46:27.765967,2022-05-13 12:46:27.765967,01G1189TMR90QDV7BP2MYTF202,Green,0.270938
01G2YQ9GM4D3VW9VP5ZSQSJSKB,2022-05-13 12:46:27.702468,2022-05-13 12:46:27.702468,01G1189TMRB2RFVTBM4REPN13T,Green,0.295469
01G2YQ9GM4XMRMQVR2RFDD045D,2022-05-13 12:46:27.706028,2022-05-13 12:46:27.706028,01G1189TMRB2RFVTBM4REPN13T,Gray,0.297656
01G2YQ9GWZ63QMX6QZ17C9XZYY,2022-05-13 12:46:27.952608,2022-05-13 12:46:27.952608,01G1189TMS6S6SS8NVWH0PF156,Beige,0.138437
01G2YQ9GWZCVFBHJSX3EC0MPX1,2022-05-13 12:46:27.958475,2022-05-13 12:46:27.958475,01G1189TMS6S6SS8NVWH0PF156,Black,0.165156
01G2YQ9GWZVQV7P46ZGKQRES4Y,2022-05-13 12:46:27.955543,2022-05-13 12:46:27.955543,01G1189TMS6S6SS8NVWH0PF156,Light Gray,0.175313
01G2YQ9H62APB5046VXKX4742G,2022-05-13 12:46:28.246048,2022-05-13 12:46:28.246048,01G1189TMSQQ67NXX5P2CB6R2N,Sienna,0.175469
01G2YQ9H62JEKBJ8X4GNP22395,2022-05-13 12:46:28.244291,2022-05-13 12:46:28.244291,01G1189TMSQQ67NXX5P2CB6R2N,Green,0.152812
01G2YQ9H62SQ836D2R6EQ65DT9,2022-05-13 12:46:28.249305,2022-05-13 12:46:28.249305,01G1189TMSQQ67NXX5P2CB6R2N,Light Gray,0.189219
01G2YQ9H62WH91QW7WTH7XCT6V,2022-05-13 12:46:28.247797,2022-05-13 12:46:28.247797,01G1189TMSQQ67NXX5P2CB6R2N,Gray,0.135625
01G2YQ9HED5J03XBWQ1WJFGVZ6,2022-05-13 12:46:28.514179,2022-05-13 12:46:28.514179,01G1189TMT09N6GEFMPTKFQEV8,Light Gray,0.330781
01G2YQ9HEDR3FY2KN3P4Y07G4K,2022-05-13 12:46:28.517287,2022-05-13 12:46:28.517287,01G1189TMT09N6GEFMPTKFQEV8,Rosy Brown,0.167812
01G2YQ9HEDVS18TN2FMJ7HE4PD,2022-05-13 12:46:28.508254,2022-05-13 12:46:28.508254,01G1189TMT09N6GEFMPTKFQEV8,Sienna,0.115781
01G2YQ9HNZ6WJX84A1YKKT3HN6,2022-05-13 12:46:28.788447,2022-05-13 12:46:28.788447,01G1189TMVPZCTM63TRNWDFZ93,Golden Rod,0.127344
01G2YQ9HNZG9DC3GR63V3536T5,2022-05-13 12:46:28.78486,2022-05-13 12:46:28.78486,01G1189TMVPZCTM63TRNWDFZ93,Green,0.18375
01G2YQ9HNZJQ3NDKTBDT8BM59T,2022-05-13 12:46:28.792467,2022-05-13 12:46:28.792467,01G1189TMVPZCTM63TRNWDFZ93,Light Gray,0.186406
01G2YQ9HQF51AMN375493STH03,2022-05-13 12:46:28.832902,2022-05-13 12:46:28.832902,01G1189TMWPAFJ3P0EP5Z5ME1X,Golden Rod,0.127656
01G2YQ9HQF729ND4XNZ7ZXKVNH,2022-05-13 12:46:28.837454,2022-05-13 12:46:28.837454,01G1189TMWPAFJ3P0EP5Z5ME1X,Bordeaux/ Fire Brick,0.110625
01G2YQ9HQFD3ENS7KRFHBHZS5V,2022-05-13 12:46:28.826603,2022-05-13 12:46:28.826603,01G1189TMWPAFJ3P0EP5Z5ME1X,Sienna,0.240156
